Date,NAV,F1_NIFTY50,F2_NIFTY_MID50,F3_BANKNIFTY
01-12-2017,30.99,10219,5223.5,25391.75
04-12-2017,30.88,10223.3,5213.1,25312.4
05-12-2017,30.87,10210.1,5227.65,25346.05
06-12-2017,30.69,10131.4,5184.1,25072.35
07-12-2017,31.11,10259.95,5266.4,25296.3
08-12-2017,31.32,10352.15,5298.5,25485.2
11-12-2017,31.38,10407.55,5344.5,25542.05
12-12-2017,31.19,10326.65,5294.65,25305.8
13-12-2017,31.06,10279.2,5227.85,25163.7
14-12-2017,31.18,10333.2,5224.7,25338.75
15-12-2017,31.42,10423.8,5293.2,25640.95
18-12-2017,31.62,10468.55,5339.7,25739.7
19-12-2017,31.89,10531.4,5429.55,25834.65
20-12-2017,31.87,10527,5445.25,25785.8
21-12-2017,31.91,10533,5498.25,25749.55
22-12-2017,32.05,10578.45,5514,25800.45
26-12-2017,32.13,10601.15,5535.35,25793.75
27-12-2017,31.98,10561.25,5549.5,25626.7
28-12-2017,31.93,10542.35,5554.35,25595.3
29-12-2017,32.04,10577.4,5594.8,25635.75
01-01-2018,31.88,10521.2,5583.65,25512.45
02-01-2018,31.82,10494.55,5528.1,25450.1
03-01-2018,31.89,10496.2,5562.25,25447
04-01-2018,32.19,10549.85,5609.55,25545.35
05-01-2018,32.37,10595.4,5684.3,25687.5
08-01-2018,32.59,10650.25,5748.95,25774
09-01-2018,32.5,10668.8,5716.75,25761.3
10-01-2018,32.38,10656.75,5669.15,25679.85
11-01-2018,32.42,10677.45,5704.5,25721.9
12-01-2018,32.47,10708.55,5690.55,25790.15
15-01-2018,32.67,10767.2,5680.8,26088.1
16-01-2018,32.34,10733.85,5543.05,26021.25
17-01-2018,32.64,10814.4,5592.2,26331.25
18-01-2018,32.43,10832.65,5463.4,26541.25
19-01-2018,32.69,10921,5504.75,26931.6
22-01-2018,32.87,10992.5,5543.4,27064.2
23-01-2018,33.29,11107.85,5602.65,27418.9
24-01-2018,33.25,11105.4,5559.05,27489.15
25-01-2018,33.04,11062.6,5495.45,27374.25
29-01-2018,33.02,11137.65,5516.65,27509.3
30-01-2018,32.82,11072.1,5432.4,27358.7
31-01-2018,32.67,11055.4,5516.65,27465.6
01-02-2018,32.59,11031.3,5380,27233.2
02-02-2018,31.72,10755.85,5121.5,26504.65
05-02-2018,31.53,10684.6,4999,26196
